latitude,longitude,subset,label
13.16395615,24.42213575,validation,0.0
12.51669535,23.19548815,training,0.0
11.54397414,22.94897807,training,0.0
12.26038036,23.43824347,training,0.0
13.29698199,24.01818952,training,0.0
11.827977,22.75210851,validation,0.0
12.33281569,24.1404393,training,0.0
11.97490512,22.9464084,testing,0.0
12.8196138,23.53028055,training,0.0
11.69604873,22.8489929,validation,0.0
11.91418396,23.43616575,training,0.0
12.13435814,23.39633986,validation,0.0
12.46634118,23.38123293,training,0.0
13.33572894,23.19415368,validation,0.0
11.81442395,22.63235127,training,1.0
12.95787128,22.97865936,testing,0.0
10.84947248,23.09908513,testing,0.0
11.79908236,23.55139752,testing,0.0
12.36421876,23.4424375,testing,0.0
13.05897381,23.54705839,training,0.0
11.15220677,23.1134299,testing,0.0
13.24468811,23.87158684,training,0.0
12.91062859,24.34261621,validation,0.0
11.39000759,23.01258732,testing,0.0
11.93469344,23.00461767,training,0.0
12.5124036,23.34386392,training,0.0
11.18210998,23.25643437,validation,0.0
13.18555087,23.60675632,validation,0.0
12.68210824,22.70618774,training,0.0
12.92381066,24.07253893,testing,0.0
12.46185615,23.24878829,training,0.0
12.45416448,23.80221302,training,0.0
13.28196216,24.40995692,training,0.0
12.60646931,23.63700459,testing,0.0
12.46342747,24.15699546,training,0.0
11.2432011,23.45493088,testing,0.0
12.71947123,23.67623601,testing,0.0
13.27858153,23.82448831,testing,0.0
12.14311354,23.88717626,validation,0.0
12.57934908,24.1211458,training,0.0
11.27269139,23.11062102,training,0.0
10.83935326,23.02074419,training,0.0
13.16655027,24.13925047,validation,0.0
12.68958847,24.16051377,validation,0.0
12.86758062,23.28114093,validation,0.0
12.51587032,24.15006447,training,0.0
11.89497347,23.57026879,testing,0.0
12.74495645,23.84044677,training,0.0
13.21210946,24.18392899,validation,0.0
12.29918756,23.63321773,validation,0.0
12.23359141,22.87111512,training,0.0
13.06947728,24.3869283,validation,0.0
13.26376962,23.98668236,training,0.0
12.46280715,23.68183743,training,0.0
12.41906099,23.77606295,validation,0.0
12.8573976,23.08073411,testing,0.0
12.5261795,23.15673907,validation,0.0
12.9743174,24.37231561,training,0.0
13.37972108,24.66916981,testing,0.0
12.82032422,24.90107542,training,0.0
11.54057419,25.36628797,training,0.0
11.8885786,24.92345887,training,0.0
10.49977033,23.98850262,testing,0.0
10.75818508,24.62993184,training,0.0
12.02274503,24.36557323,training,0.0
11.98607067,24.78864478,testing,0.0
12.51575034,24.75616701,testing,0.0
11.15452493,24.64708031,training,0.0
11.90687825,24.41348811,testing,0.0
10.48211147,24.86944053,training,0.0
10.36741901,24.26256958,validation,0.0
10.15328873,24.60636424,testing,0.0
10.79031084,24.90746422,training,0.0
9.89219795,24.11300113,validation,0.0
12.75105904,24.41222411,validation,0.0
8.755456,24.09829722,validation,0.0
10.62445673,24.71570605,validation,1.0
10.87786601,24.44445811,testing,0.0
10.51997042,24.90772251,validation,1.0
12.64324069,24.63804782,training,0.0
9.29377821,24.14504039,testing,0.0
10.68672708,23.81540617,training,0.0
10.43094021,25.30209863,validation,0.0
10.72223692,24.41694395,training,0.0
11.48071141,24.76104449,testing,0.0
8.99755526,24.44434168,training,0.0
10.39908409,25.1235767,validation,0.0
10.49885611,25.36706856,testing,0.0
8.9369524,24.44311708,testing,0.0
11.66332612,24.62172705,testing,0.0
10.651352,25.61341678,validation,0.0
11.32275447,25.44237879,validation,1.0
10.29384503,23.7510421,training,0.0
8.94212074,24.32325809,validation,0.0
11.91696459,23.9207869,testing,0.0
11.74270293,24.99900665,training,0.0
10.26326771,24.1025171,training,0.0
10.05088199,24.90969531,testing,0.0
10.9736859,24.71525,testing,0.0
11.45899451,25.57123656,testing,1.0
12.16490794,24.55231229,training,0.0
11.49732755,24.7497629,training,0.0
10.5395307,24.60302031,validation,0.0
11.69493024,25.25216556,training,0.0
10.7071283,25.20738438,training,0.0
10.05086709,23.70905487,validation,0.0
9.52147148,23.96759551,training,0.0
11.05586232,25.54206515,testing,0.0
10.4265129,23.93581958,testing,0.0
10.7632153,23.10702003,testing,0.0
11.12636178,24.79787013,testing,0.0
11.12017542,24.42339036,validation,0.0
9.92481313,24.36190428,training,0.0
11.02238504,23.80423451,testing,0.0
11.59261752,23.93714391,testing,0.0
10.09886078,24.04548618,validation,0.0
8.98373817,24.33534784,training,0.0
9.17261701,24.50883294,validation,0.0
10.01902367,23.63336538,validation,0.0
10.4914371,25.22942838,testing,0.0
12.37232598,25.01600368,testing,0.0
12.55008881,25.00256556,training,0.0
11.39456238,25.58764687,training,0.0
10.91575719,24.67459072,testing,0.0
12.25908541,24.78476972,training,0.0
10.58642971,25.52942746,training,0.0
11.09417013,25.10774269,training,0.0
12.06336558,23.94816885,validation,0.0
12.25022753,24.54348739,validation,0.0
10.00325583,24.40170584,validation,0.0
10.05016026,24.01623977,training,0.0
9.37007075,24.24202547,testing,0.0
9.94587654,24.32878953,testing,0.0
10.58141817,25.72178101,validation,0.0
11.2260314,23.78600095,training,0.0
12.50567582,24.72681333,testing,0.0
11.87749003,24.91221547,training,0.0
10.74226801,23.60969419,training,0.0
10.69792417,23.14809357,testing,0.0
11.62642141,24.59989279,training,0.0
12.66842424,24.93115224,validation,0.0
10.76915985,25.27787188,training,0.0
12.26290564,25.22390734,testing,0.0
9.54397263,24.64312029,training,0.0
11.18367858,25.27264155,training,0.0
10.25344915,24.73477812,training,0.0
11.67515756,23.81315322,training,0.0
11.22091355,25.39040959,validation,0.0
9.1622987,24.12292852,training,0.0
10.0238938,24.05434638,training,0.0
11.27581083,24.35654939,validation,0.0
9.09560552,24.22915095,testing,0.0
10.8663153,24.91400324,training,0.0
10.97963536,24.5810168,training,0.0
11.80485658,24.96102246,testing,0.0
11.77644154,24.25384257,training,0.0
9.35184222,23.8855959,validation,0.0
10.99161668,24.66568102,training,0.0
10.59498831,25.57384328,testing,0.0
9.69553396,24.34578209,training,0.0
9.76603971,23.74496515,training,0.0
12.0240483,24.4943918,testing,0.0
10.32406257,25.0609259,validation,0.0
9.09465465,24.11770957,training,0.0
10.68575592,23.26001484,training,0.0
10.4314364,24.03740459,validation,0.0
9.88106337,24.75846586,training,0.0
11.45067216,23.80598615,training,0.0
10.66023446,24.91660977,validation,0.0
10.27221122,24.62000353,validation,0.0
11.60221121,24.82570613,training,0.0
8.93972927,24.3481384,training,0.0
10.83313437,25.03285845,training,0.0
10.69829468,24.64264665,training,1.0
12.55261927,24.94926505,validation,0.0
12.835534,24.95059546,training,0.0
10.05784645,24.11439987,testing,0.0
10.9009091,23.73865986,validation,0.0
12.54583852,24.71920705,testing,0.0
11.60512038,24.62100678,validation,0.0
10.74389609,25.52283909,validation,0.0
11.03855136,23.9185198,validation,0.0
10.26205639,23.8278854,training,1.0
11.2700328,24.14280244,validation,0.0
10.22635245,23.90936005,validation,0.0
10.15050027,24.57352416,testing,0.0
12.01665798,24.62087402,validation,0.0
8.97630447,24.4207158,testing,0.0
9.8948324,24.10369252,testing,0.0
12.40914036,25.35098012,training,0.0
10.42506387,25.51376471,training,0.0
12.71309438,25.00324078,training,0.0
10.01054263,24.69081196,validation,0.0
9.284695,24.30353035,validation,0.0
10.72273343,23.75518316,training,1.0
8.96781471,24.55834483,validation,0.0
11.01941305,25.49625838,validation,0.0
11.02613909,25.03637644,testing,0.0
11.56007053,24.68721028,validation,0.0
11.74757387,24.42279797,validation,0.0
12.50803324,24.88934118,validation,0.0
8.75400996,23.94006242,validation,0.0
10.58299825,23.81130345,validation,0.0
12.46895266,25.08954018,training,0.0
9.27183866,24.11130507,training,0.0
12.48636955,24.81311184,training,0.0
10.35700995,24.38362285,training,0.0
10.21360035,24.4676773,testing,0.0
10.63884651,24.93840072,testing,0.0
11.60954798,25.17138924,training,0.0
10.12574255,24.4230056,testing,0.0
9.33297063,24.28672301,training,0.0
9.81154609,24.21955184,testing,0.0
11.33356817,24.46100616,training,0.0
8.82568405,23.74790013,validation,0.0
9.913178,24.64189447,testing,1.0
11.63223388,24.33846079,validation,1.0
10.49828208,24.4733142,testing,0.0
10.87504211,25.00217111,testing,0.0
11.8126967,24.8595557,validation,0.0
11.04045393,23.5094403,training,0.0
12.15950884,24.23530511,validation,0.0
11.37256836,24.71400997,validation,1.0
12.20440803,24.71964105,training,0.0
12.39968742,24.71687302,training,0.0
12.07639528,23.97502225,testing,0.0
10.60892757,24.78163831,validation,0.0
10.4885062,23.85590383,testing,0.0
10.70585016,23.66050477,testing,1.0
12.72178095,24.37376936,training,0.0
9.59843135,24.28229737,testing,0.0
11.91218553,23.84648307,validation,0.0
11.24249799,25.44972897,training,0.0
10.17878431,23.57863541,testing,0.0
10.32326565,24.60424485,validation,0.0
13.07138035,24.77638176,testing,0.0
11.27070915,25.56642544,training,1.0
12.53520159,24.98113986,validation,0.0
9.2017862,24.16159147,training,0.0
11.36708899,23.76642875,validation,0.0
12.88171678,24.59205715,testing,0.0
11.22942091,23.93174505,training,0.0
8.90299902,24.14772388,training,0.0
10.33599388,23.79294723,training,0.0
11.32654159,24.07531751,training,0.0
10.07588933,23.98636284,training,0.0
10.38420531,24.26940459,testing,0.0
11.84523688,24.22592521,testing,0.0
10.54894926,23.86119866,training,0.0
9.83586023,23.99765337,validation,0.0
11.16870217,24.01282912,training,0.0
11.11541468,23.99227618,training,0.0
12.89279079,24.71971692,validation,0.0
10.80473453,23.16497522,testing,0.0
10.60426355,25.04655019,training,0.0
10.2023533,24.81081062,testing,0.0
9.22547284,24.59057122,training,0.0
10.55038352,24.87550649,validation,0.0
9.7361412,24.03706903,training,0.0
10.56083636,24.03761479,testing,0.0
9.84333537,24.32372092,training,0.0
10.45862036,24.35680345,validation,0.0
10.73148873,25.04498959,validation,0.0
10.43818977,23.85643939,testing,0.0
9.4649056,23.81601246,training,0.0
10.58678713,23.83326172,training,0.0
9.00265255,24.53610048,testing,0.0
11.84036263,24.13794225,testing,0.0
9.33234242,24.28175421,testing,0.0
9.23009961,24.55524076,training,0.0
12.13253465,24.19511055,training,0.0
11.66479551,23.87662506,validation,0.0
10.41687782,24.80202583,testing,0.0
10.32955675,25.12124689,validation,0.0
11.18380269,24.39722267,validation,0.0
12.90477922,24.87837886,validation,0.0
11.11204593,24.3253995,training,0.0
9.05377367,23.99429831,testing,0.0
10.85766459,24.39315778,training,0.0
11.63314235,25.11261125,validation,0.0
9.99623464,24.06200163,training,0.0
11.18639317,24.15421324,training,0.0
9.86608399,24.18970073,training,0.0
10.74618955,23.30371282,testing,0.0
11.52091183,25.30621313,training,0.0
10.2405492,24.86109719,validation,1.0
8.91387638,23.80751066,testing,0.0
10.60138016,23.31129726,testing,0.0
10.62210911,23.57740379,testing,0.0
11.33007817,24.83129831,training,0.0
10.63085039,23.49820097,testing,0.0
10.52596689,24.05695872,validation,0.0
10.03259643,24.38776265,testing,0.0
10.66068057,24.92029183,validation,0.0
9.20107307,24.4566211,testing,0.0
11.25549867,23.90044778,validation,0.0
12.58368216,24.34002496,testing,0.0
11.06686358,24.2984312,training,0.0
11.77228711,25.00768386,testing,0.0
12.85639491,24.54720595,validation,0.0
11.24354792,25.10495923,training,1.0
10.87144603,25.21014804,training,0.0
12.58451482,24.90099207,validation,0.0
10.20882809,24.61421931,validation,0.0
11.37078257,24.22172703,validation,0.0
11.19787653,24.62344104,training,0.0
11.90142521,24.3980764,training,0.0
11.64003225,24.7119095,training,0.0
11.0173063,25.41952657,validation,0.0
11.04212105,23.68946387,testing,0.0
12.54144775,24.58234837,validation,0.0
11.43442421,25.39557575,training,0.0
10.31118102,23.81820341,testing,0.0
8.72303359,24.1427455,training,0.0
10.36402672,24.1595953,testing,0.0
11.02393864,23.98325929,validation,0.0
10.04202001,24.89228508,testing,0.0
11.31859048,24.08409357,validation,0.0
9.68130031,23.73916124,training,0.0
11.1092576,23.97093789,validation,0.0
9.17422265,23.88513998,training,0.0
12.19652708,24.66046765,training,0.0
10.46194924,24.38614493,training,0.0
10.07670843,23.69138659,testing,0.0
12.51244485,24.49192313,validation,0.0
10.72055435,23.41507349,testing,0.0
12.25893594,24.35208857,training,0.0
10.34159008,24.25828018,training,0.0
12.36836391,24.3380756,validation,0.0
11.10633872,24.00314408,training,0.0
12.79983224,24.77208433,validation,0.0
11.0440142,24.59584112,training,1.0
11.81906088,24.3663857,testing,0.0
11.20695729,23.72990083,training,0.0
10.57091849,23.82441896,testing,0.0
11.13408861,25.18074001,training,0.0
11.53123885,24.21281236,training,0.0
10.14298215,23.68562038,training,0.0
10.19171379,24.42664274,testing,0.0
10.20191383,23.4994659,validation,0.0
12.16413074,24.43337504,testing,0.0
11.91042008,24.32890357,validation,0.0
10.84545364,23.9195819,training,0.0
11.31800329,24.54002799,validation,1.0
10.59161533,24.32457665,validation,0.0
12.138494,24.82636547,validation,0.0
10.35822771,24.61355239,training,0.0
9.32181953,24.00393259,validation,0.0
9.26963502,24.08616285,training,0.0
9.45034179,24.62499016,validation,0.0
11.06742942,25.4096945,training,0.0
10.43034423,24.66632296,training,0.0
11.58841428,24.72097574,testing,0.0
9.81312305,24.78932729,training,0.0
11.02740304,24.98060774,testing,0.0
9.4176621,24.54906205,training,0.0
12.57691505,24.86377249,validation,0.0
10.83805841,23.20600887,training,0.0
10.62314337,24.96720568,training,0.0
11.02281759,23.68628203,training,0.0
11.56497582,24.2648833,training,0.0
12.02029439,24.76627724,validation,0.0
12.32021213,25.1845901,testing,0.0
10.22601226,24.80264854,validation,0.0
10.70821418,23.273367,testing,0.0
9.55225547,24.50101065,training,0.0
10.18521932,23.80125495,validation,0.0
9.96194073,24.31936194,training,0.0
11.40554004,24.64240958,training,0.0
12.84005988,24.75215373,training,0.0
10.48919472,25.16732788,testing,0.0
10.50817853,25.65674989,training,0.0
12.45633588,24.49678331,training,0.0
9.68646324,24.07760243,validation,0.0
11.41283059,23.84014474,training,1.0
9.11034823,24.52283818,training,0.0
12.29243595,24.97149594,testing,0.0
10.82287405,25.6093865,validation,0.0
11.03073316,25.63382682,validation,0.0
11.12063641,23.78276987,testing,0.0
10.53839619,25.44476157,validation,0.0
9.11425405,24.06012301,testing,0.0
9.51965182,24.4268094,testing,0.0
8.99270112,24.24761055,testing,0.0
9.11158084,24.41890872,training,0.0
10.79303393,25.40939273,validation,0.0
11.45504141,24.19951621,training,1.0
12.45564588,24.4048618,validation,0.0
10.60189236,23.80343647,validation,0.0
10.78031334,24.64763644,validation,0.0
9.42825238,24.56573656,validation,0.0
11.02630805,23.98367143,testing,1.0
9.2768903,24.29479914,training,0.0
10.36200796,24.85466525,testing,1.0
11.20568742,24.14255072,training,0.0
9.7185116,23.7237534,training,0.0
13.32239428,34.41260808,testing,1.0
13.29625584,33.04290412,training,1.0
13.41182163,34.21550051,validation,0.0
12.61681606,33.96706209,testing,1.0
12.67262943,35.66644332,training,0.0
12.94279785,34.49957692,testing,0.0
12.87046141,34.1923858,training,1.0
13.84289515,33.28785639,training,1.0
13.43781922,34.27499879,testing,1.0
12.82651955,34.11909447,testing,1.0
12.4786425,33.69437136,testing,1.0
13.6683096,33.17861531,testing,1.0
12.60745511,35.01509225,training,0.0
13.3860431,34.29298555,testing,0.0
12.01164861,35.2216752,validation,0.0
12.9236118,33.48430056,training,1.0
13.92143873,33.14393092,training,0.0
12.78009654,34.98714125,training,0.0
12.27692903,34.81928315,validation,0.0
12.73464646,34.92987508,training,0.0
13.72846956,33.8002744,validation,1.0
13.25945885,33.73585746,testing,1.0
13.07913712,33.65071159,training,1.0
12.23555465,35.22327217,validation,0.0
12.83548124,33.87394256,testing,1.0
13.36561851,34.41182397,validation,1.0
12.3004294,34.92340238,validation,0.0
12.35035461,34.04130848,training,1.0
12.73332298,34.7458116,training,0.0
12.24919907,34.90385576,training,0.0
13.5554708,33.50868695,testing,1.0
13.32850026,33.94278973,validation,1.0
13.08537775,33.2677638,validation,1.0
12.65593683,35.2128032,testing,0.0
13.70146218,34.26544395,testing,0.0
12.38105456,34.92454418,training,0.0
12.08063024,33.38086102,testing,1.0
12.14287538,34.9613224,validation,0.0
12.70951716,35.38025994,testing,0.0
12.44465416,33.23656941,testing,0.0
12.9428024,34.16513296,training,0.0
12.582264,33.46420742,training,0.0
13.74985741,33.88718689,training,0.0
12.53532457,34.64356545,validation,0.0
12.80781268,34.50547353,testing,1.0
12.43052287,34.01947685,validation,1.0
12.56241836,33.69976076,validation,1.0
13.28841478,33.47788524,training,1.0
12.62879188,33.45087431,testing,0.0
12.69562692,33.33615636,validation,0.0
12.15754345,33.30587112,testing,0.0
12.91592114,34.84672877,validation,1.0
12.58320243,33.53977184,training,1.0
13.4021448,33.31986742,validation,1.0
13.37184268,34.29311274,validation,0.0
13.26614547,34.30232899,validation,0.0
12.88588944,34.79980184,validation,0.0
13.06718656,34.6441802,training,1.0
13.28490756,34.07067438,training,1.0
13.91164823,33.81096548,training,0.0
13.52888926,33.02714021,training,1.0
12.22005825,34.01155313,validation,1.0
12.55583966,34.41276384,testing,1.0
14.55344716,22.6846044,testing,0.0
13.44104866,22.545341,training,0.0
14.32925404,22.93361135,validation,0.0
13.77890821,22.27209284,training,0.0
14.14202316,23.00220477,training,0.0
13.12530753,22.29511502,training,0.0
12.99199137,22.54390258,training,0.0
12.72125184,22.65395675,training,0.0
13.58664176,22.93072185,testing,0.0
13.21075358,22.82382348,validation,0.0
14.27541228,22.49381265,testing,0.0
12.66065012,22.05263162,training,0.0
12.9394656,22.8017852,validation,0.0
13.70811087,22.81065943,training,0.0
13.14277069,22.74820422,testing,1.0
12.83557501,22.25014789,testing,0.0
13.05248963,22.25719788,training,0.0
13.87856339,22.43243854,testing,0.0
13.27730204,22.82953307,testing,1.0
13.44752597,22.86141387,testing,0.0
14.04262706,22.82944952,training,0.0
13.09997394,22.60012358,training,0.0
13.6213196,22.92946891,validation,0.0
14.29046894,22.69484308,testing,0.0
13.60730189,22.36073141,validation,0.0
14.3872211,22.70494292,training,0.0
13.27450403,22.73911029,training,0.0
14.27133994,22.53713546,testing,0.0
13.24502606,22.9152288,testing,0.0
13.95827637,22.60787953,testing,0.0
13.22370726,22.47418993,training,0.0
12.90125111,22.72272246,training,0.0
12.8259678,22.50845151,testing,0.0
13.25251755,22.43459753,testing,0.0
14.00574359,22.94088941,testing,0.0
13.7998718,22.42312575,training,0.0
13.46485417,22.7199926,testing,1.0
13.22873748,22.35040393,training,0.0
14.60539336,22.71655443,training,0.0
14.12014774,23.01690944,validation,0.0
12.76864273,22.18636003,testing,0.0
13.65898353,22.91319569,testing,0.0
13.69921319,22.36004826,training,0.0
12.50988992,22.43192681,training,0.0
13.54267848,22.54666609,training,0.0
12.42628147,22.42991224,validation,0.0
14.68087836,22.71650311,testing,0.0
14.39601267,22.47899938,training,0.0
13.28484612,22.75957902,training,0.0
12.69354347,21.9131914,testing,0.0
13.06708521,22.15717002,training,0.0
13.41481215,23.1920972,training,1.0
14.23850278,23.06677665,validation,0.0
13.06272183,22.27359528,training,0.0
13.83406659,22.66780744,training,0.0
14.11643231,22.82317244,training,0.0
13.95054904,22.30737831,testing,0.0
13.52761104,22.99920133,validation,0.0
13.48540984,22.41066591,training,0.0
13.91035536,22.50975482,testing,0.0
13.63725536,22.19697067,validation,0.0
13.25102983,23.13021129,validation,0.0
12.84909344,22.40894064,validation,0.0
13.04809894,22.33791761,training,0.0
13.15248634,22.64396793,training,0.0
13.73214759,22.49415298,testing,0.0
14.36843732,22.63965029,testing,0.0
13.22980535,22.51317628,testing,0.0
12.35108582,22.65049129,training,0.0
13.37218687,22.83166962,training,0.0
13.6540302,22.20320826,testing,0.0
13.56913349,23.08614043,training,1.0
12.20696943,22.66391407,training,0.0
12.58768856,22.50227063,training,0.0
13.08903189,22.33894249,training,0.0
13.85305942,22.84555248,testing,0.0
13.4068594,22.36392839,training,0.0
14.27065666,23.09818972,validation,0.0
13.94350739,23.17923025,training,0.0
14.73209599,22.80007682,training,0.0
13.95610607,23.18281035,training,0.0
14.40396763,22.93181151,training,0.0
13.68141724,23.26298529,testing,1.0
13.88327167,23.10005743,validation,0.0
12.97798708,22.63039885,training,0.0
13.6223303,22.58357621,training,0.0
12.72095326,22.05917201,testing,0.0
13.12131753,22.54568625,testing,0.0
13.40290237,23.05175403,testing,0.0
14.81330898,22.85740847,training,0.0
13.77975975,23.21793975,training,0.0
13.40592422,22.73762555,testing,0.0
13.37892521,22.7213645,validation,0.0
12.80461226,22.26743753,training,0.0
14.311007,23.10891056,training,0.0
12.76984979,22.38418417,validation,0.0
14.02737196,22.76249975,validation,0.0
13.63599491,22.24474382,validation,0.0
12.93637938,22.26413836,testing,0.0
12.86175173,22.25716909,validation,0.0
13.73090423,22.16408341,training,0.0
14.12852563,22.66828223,training,1.0
14.88465594,35.80374265,training,0.0
13.73901837,34.63437113,training,1.0
