plotid,sampleid,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_sampleid,Do you see *active* cropland at this point in 2020? ,Do you see *active* cropland at this point in 2021? 
23,23,39.4783129878122,12.471467919174298,cnakalem@umd.edu,false,2023-10-17 19:59,130.0 secs,Planet Monthly Mosaics,,POINT(39.4783129878122 12.471467919174298),23,Crop,Non-crop
24,24,37.71435464647592,13.604476671089442,cnakalem@umd.edu,false,2023-10-17 20:00,77.3 secs,Planet Monthly Mosaics,,POINT(37.71435464647592 13.604476671089442),24,Non-crop,Non-crop
25,25,37.595846551757774,14.463264604493624,cnakalem@umd.edu,false,2023-10-17 20:01,32.4 secs,Planet Monthly Mosaics,,POINT(37.595846551757774 14.463264604493624),25,Non-crop,Non-crop
26,26,38.13104102090901,14.143218435088079,cnakalem@umd.edu,false,2023-10-17 20:36,2106.6 secs,Planet Monthly Mosaics,,POINT(38.13104102090901 14.143218435088079),26,Non-crop,Non-crop
27,27,39.6891053687239,12.567853901651164,cnakalem@umd.edu,false,2023-10-17 20:38,96.8 secs,Planet Monthly Mosaics,,POINT(39.6891053687239 12.567853901651164),27,Non-crop,Crop
28,28,39.567043042653935,12.7206253705781,cnakalem@umd.edu,false,2023-10-17 20:38,41.6 secs,Planet Monthly Mosaics,,POINT(39.567043042653935 12.7206253705781),28,Non-crop,Non-crop
29,29,39.240441295496694,14.288282026786652,cnakalem@umd.edu,false,2023-10-17 20:39,34.4 secs,Planet Monthly Mosaics,,POINT(39.240441295496694 14.288282026786652),29,Non-crop,Non-crop
30,30,37.682691735511845,13.696433224283982,cnakalem@umd.edu,false,2023-10-17 20:39,18.3 secs,Planet Monthly Mosaics,,POINT(37.682691735511845 13.696433224283982),30,Non-crop,Non-crop
31,31,37.32021477499788,13.61151764315404,cnakalem@umd.edu,false,2023-10-17 20:46,398.2 secs,Planet Monthly Mosaics,,POINT(37.32021477499788 13.61151764315404),31,Crop,Crop
32,32,37.97223929176286,13.572454389910579,cnakalem@umd.edu,false,2023-10-17 20:46,20.3 secs,Planet Monthly Mosaics,,POINT(37.97223929176286 13.572454389910579),32,Non-crop,Non-crop
33,33,39.42186239237455,13.11996296086634,cnakalem@umd.edu,false,2023-10-17 20:46,15.2 secs,Planet Monthly Mosaics,,POINT(39.42186239237455 13.11996296086634),33,Non-crop,Non-crop
34,34,39.222498197996714,13.38114542464956,cnakalem@umd.edu,false,2023-10-19 15:44,152.8 secs,Planet Monthly Mosaics,,POINT(39.222498197996714 13.38114542464956),34,Non-crop,Crop
35,35,39.745878877396386,12.4875183030564,cnakalem@umd.edu,false,2023-10-19 15:47,179.0 secs,Planet Monthly Mosaics,,POINT(39.745878877396386 12.4875183030564),35,Non-crop,Non-crop
36,36,38.63443028923338,13.866586996650568,cnakalem@umd.edu,false,2023-10-19 15:52,294.7 secs,Planet Monthly Mosaics,,POINT(38.63443028923338 13.866586996650568),36,Crop,Non-crop
37,37,37.31604660191961,13.713959797867572,cnakalem@umd.edu,false,2023-10-19 15:52,30.7 secs,Planet Monthly Mosaics,,POINT(37.31604660191961 13.713959797867572),37,Non-crop,Non-crop
38,38,37.08224922944499,13.318269106025719,cnakalem@umd.edu,false,2023-10-19 16:20,1632.7 secs,Planet Monthly Mosaics,,POINT(37.08224922944499 13.318269106025719),38,Non-crop,Non-crop
39,39,38.67148842250782,13.952223958488457,cnakalem@umd.edu,false,2023-10-19 16:21,113.6 secs,Planet Monthly Mosaics,,POINT(38.67148842250782 13.952223958488457),39,Crop,Crop
40,40,37.52767244469197,14.05817382744992,cnakalem@umd.edu,false,2023-10-19 16:22,35.1 secs,Planet Monthly Mosaics,,POINT(37.52767244469197 14.05817382744992),40,Non-crop,Non-crop
41,41,37.14578554976388,13.881265715983659,cnakalem@umd.edu,false,2023-10-19 16:26,211.7 secs,Planet Monthly Mosaics,,POINT(37.14578554976388 13.881265715983659),41,Non-crop,Non-crop
42,42,37.602055534369946,13.804673052196412,cnakalem@umd.edu,false,2023-10-19 16:26,19.1 secs,Planet Monthly Mosaics,,POINT(37.602055534369946 13.804673052196412),42,Non-crop,Non-crop
43,43,37.84607991398254,14.623089505688085,cnakalem@umd.edu,false,2023-10-19 16:36,574.5 secs,Planet Monthly Mosaics,,POINT(37.84607991398254 14.623089505688085),43,Non-crop,Crop
44,44,38.590679271555786,14.197863328369937,cnakalem@umd.edu,false,2023-10-19 16:37,76.3 secs,Planet Monthly Mosaics,,POINT(38.590679271555786 14.197863328369937),44,Non-crop,Non-crop
45,45,39.5623085067663,13.879857517352889,cnakalem@umd.edu,false,2023-10-19 16:37,34.2 secs,Planet Monthly Mosaics,,POINT(39.5623085067663 13.879857517352889),45,Non-crop,Non-crop
46,46,37.85757640395629,14.332077932107616,cnakalem@umd.edu,false,2023-10-19 16:38,23.2 secs,Sentinel-2,,POINT(37.85757640395629 14.332077932107616),46,Non-crop,Crop
47,47,39.32225622186005,12.344193753780432,cnakalem@umd.edu,false,2023-10-19 16:41,192.7 secs,Planet Monthly Mosaics,,POINT(39.32225622186005 12.344193753780432),47,Non-crop,Non-crop
48,48,37.81499663681445,14.430101947572737,cnakalem@umd.edu,false,2023-10-19 01:55,49.0 secs,Planet Monthly Mosaics,,POINT(37.81499663681445 14.430101947572737),48,Non-crop,Non-crop
49,49,37.75367151118916,13.739762523965435,cnakalem@umd.edu,false,2023-10-19 01:55,21.0 secs,Planet Monthly Mosaics,,POINT(37.75367151118916 13.739762523965435),49,Non-crop,Non-crop
50,50,37.509689708715335,13.976667203204496,cnakalem@umd.edu,false,2023-10-19 01:56,63.2 secs,Planet Monthly Mosaics,,POINT(37.509689708715335 13.976667203204496),50,Non-crop,Non-crop
51,51,38.42888141687959,14.368424792607653,cnakalem@umd.edu,false,2023-10-19 01:57,32.4 secs,Planet Monthly Mosaics,,POINT(38.42888141687959 14.368424792607653),51,Crop,Crop
52,52,39.469027225563586,13.668752079876029,cnakalem@umd.edu,false,2023-10-19 01:57,38.0 secs,Planet Monthly Mosaics,,POINT(39.469027225563586 13.668752079876029),52,Non-crop,Non-crop
53,53,37.316170960081614,14.023492490115776,cnakalem@umd.edu,false,2023-10-19 01:58,53.2 secs,Planet Monthly Mosaics,,POINT(37.316170960081614 14.023492490115776),53,Non-crop,Non-crop
54,54,36.69875289055307,13.388480445883097,cnakalem@umd.edu,false,2023-10-19 01:59,17.2 secs,Planet Monthly Mosaics,,POINT(36.69875289055307 13.388480445883097),54,Non-crop,Non-crop
55,55,39.58769345186107,12.791284615685026,cnakalem@umd.edu,false,2023-10-19 02:01,168.2 secs,Planet Monthly Mosaics,,POINT(39.58769345186107 12.791284615685026),55,Non-crop,Non-crop
56,56,37.77035417215793,14.548564939555547,cnakalem@umd.edu,false,2023-10-19 02:02,9.8 secs,Planet Monthly Mosaics,,POINT(37.77035417215793 14.548564939555547),56,Non-crop,Non-crop
57,57,36.99088895502069,13.635996267174724,cnakalem@umd.edu,false,2023-10-19 02:02,25.5 secs,Planet Monthly Mosaics,,POINT(36.99088895502069 13.635996267174724),57,Non-crop,Non-crop
58,58,36.649486677280365,13.479305826132517,cnakalem@umd.edu,false,2023-10-19 02:07,295.8 secs,Planet Monthly Mosaics,,POINT(36.649486677280365 13.479305826132517),58,Non-crop,Non-crop
59,59,39.23162028143691,13.643836754302818,cnakalem@umd.edu,false,2023-10-19 02:08,89.0 secs,Planet Monthly Mosaics,,POINT(39.23162028143691 13.643836754302818),59,Non-crop,Crop
60,60,36.78636036610527,13.411044752610467,cnakalem@umd.edu,false,2023-10-19 02:12,203.9 secs,Planet Monthly Mosaics,,POINT(36.78636036610527 13.411044752610467),60,Non-crop,Non-crop
61,61,39.43179645803876,13.010346241770872,cnakalem@umd.edu,false,2023-10-19 02:12,23.1 secs,Planet Monthly Mosaics,,POINT(39.43179645803876 13.010346241770872),61,Non-crop,Non-crop
62,62,37.934272056459236,14.07607763149895,cnakalem@umd.edu,false,2023-10-19 02:13,25.4 secs,Planet Monthly Mosaics,,POINT(37.934272056459236 14.07607763149895),62,Non-crop,Non-crop
63,63,39.69458564448864,12.85871483930397,cnakalem@umd.edu,false,2023-10-19 02:22,542.0 secs,Planet Monthly Mosaics,,POINT(39.69458564448864 12.85871483930397),63,Non-crop,Crop
64,64,39.61895691438081,12.839500590603542,cnakalem@umd.edu,false,2023-10-19 02:22,18.8 secs,Planet Monthly Mosaics,,POINT(39.61895691438081 12.839500590603542),64,Non-crop,Non-crop
65,65,38.11496974898015,13.642456510320164,cnakalem@umd.edu,false,2023-10-19 02:23,85.2 secs,Planet Monthly Mosaics,,POINT(38.11496974898015 13.642456510320164),65,Non-crop,Crop
66,66,37.5465565867878,13.544031416331615,cnakalem@umd.edu,false,2023-10-19 02:24,15.7 secs,Planet Monthly Mosaics,,POINT(37.5465565867878 13.544031416331615),66,Non-crop,Non-crop
67,67,36.59014465484808,13.569044253128215,cnakalem@umd.edu,false,2023-10-19 02:24,11.8 secs,Planet Monthly Mosaics,,POINT(36.59014465484808 13.569044253128215),67,Non-crop,Non-crop
68,68,38.18061942136189,13.858312360318921,cnakalem@umd.edu,false,2023-10-19 02:25,67.2 secs,Planet Monthly Mosaics,,POINT(38.18061942136189 13.858312360318921),68,Crop,Crop
69,69,36.655754601737556,13.411546841565832,cnakalem@umd.edu,false,2023-10-19 02:25,15.1 secs,Planet Monthly Mosaics,,POINT(36.655754601737556 13.411546841565832),69,Non-crop,Non-crop
70,70,37.71404193969722,14.10627217125051,cnakalem@umd.edu,false,2023-10-19 02:29,203.0 secs,Planet Monthly Mosaics,,POINT(37.71404193969722 14.10627217125051),70,Non-crop,Non-crop
71,71,39.19226985144315,13.827004042053598,cnakalem@umd.edu,false,2023-10-19 02:31,125.5 secs,Planet Monthly Mosaics,,POINT(39.19226985144315 13.827004042053598),71,Non-crop,Non-crop
72,72,37.15237096907431,13.987849439468828,cnakalem@umd.edu,false,2023-10-19 02:31,14.8 secs,Planet Monthly Mosaics,,POINT(37.15237096907431 13.987849439468828),72,Non-crop,Non-crop
73,73,37.82709684910636,14.323248581828455,cnakalem@umd.edu,false,2023-10-19 02:31,16.3 secs,Planet Monthly Mosaics,,POINT(37.82709684910636 14.323248581828455),73,Crop,Crop
74,74,37.96038602204188,13.776774653593007,cnakalem@umd.edu,false,2023-10-19 02:31,11.4 secs,Planet Monthly Mosaics,,POINT(37.96038602204188 13.776774653593007),74,Non-crop,Non-crop
75,75,39.41869833041944,12.518793735037454,cnakalem@umd.edu,false,2023-10-19 02:33,99.1 secs,Planet Monthly Mosaics,,POINT(39.41869833041944 12.518793735037454),75,Crop,Non-crop
76,76,39.59473655657997,13.901131901214038,cnakalem@umd.edu,false,2023-10-19 02:34,29.4 secs,Planet Monthly Mosaics,,POINT(39.59473655657997 13.901131901214038),76,Non-crop,Crop
77,77,37.25204690778456,13.854063461905286,cnakalem@umd.edu,false,2023-10-19 02:34,30.2 secs,Planet Monthly Mosaics,,POINT(37.25204690778456 13.854063461905286),77,Non-crop,Non-crop
78,78,37.628441210056366,13.972318111343968,cnakalem@umd.edu,false,2023-10-19 02:35,50.4 secs,Planet Monthly Mosaics,,POINT(37.628441210056366 13.972318111343968),78,Non-crop,Non-crop
79,79,38.14910463722211,14.481505924130627,cnakalem@umd.edu,false,2023-10-19 02:38,161.7 secs,Sentinel-2,,POINT(38.14910463722211 14.481505924130627),79,Crop,Crop
80,80,38.67649976226578,13.871076084065638,cnakalem@umd.edu,false,2023-10-19 02:39,96.1 secs,Planet Monthly Mosaics,,POINT(38.67649976226578 13.871076084065638),80,Non-crop,Non-crop
81,81,36.78697790523098,13.63807055609338,cnakalem@umd.edu,false,2023-10-19 02:39,9.7 secs,Planet Monthly Mosaics,,POINT(36.78697790523098 13.63807055609338),81,Non-crop,Non-crop
82,82,39.63021378207558,12.384590654496785,cnakalem@umd.edu,false,2023-10-19 02:40,6.5 secs,Planet Monthly Mosaics,,POINT(39.63021378207558 12.384590654496785),82,Non-crop,Non-crop
83,83,38.1524802677681,13.916862817242642,cnakalem@umd.edu,false,2023-10-19 02:40,7.4 secs,Planet Monthly Mosaics,,POINT(38.1524802677681 13.916862817242642),83,Non-crop,Non-crop
84,84,37.32942845515995,14.270054800570044,cnakalem@umd.edu,false,2023-10-19 02:40,7.4 secs,Planet Monthly Mosaics,,POINT(37.32942845515995 14.270054800570044),84,Non-crop,Non-crop
85,85,37.944992424162244,13.834112452404826,cnakalem@umd.edu,false,2023-10-19 02:40,10.3 secs,Planet Monthly Mosaics,,POINT(37.944992424162244 13.834112452404826),85,Non-crop,Non-crop
86,86,39.50974820741345,14.020217969146481,cnakalem@umd.edu,false,2023-10-19 02:41,40.3 secs,Google Satellite Layer,,POINT(39.50974820741345 14.020217969146481),86,Crop,Crop
87,87,37.35932003466349,13.704951350798778,cnakalem@umd.edu,false,2023-10-19 02:41,24.6 secs,,,POINT(37.35932003466349 13.704951350798778),87,Non-crop,Non-crop
88,88,38.87501590125716,14.185422787158322,cnakalem@umd.edu,false,2023-10-19 02:41,14.4 secs,Planet Monthly Mosaics,,POINT(38.87501590125716 14.185422787158322),88,Non-crop,Non-crop
89,89,36.763771172373225,13.717990756822337,cnakalem@umd.edu,false,2023-10-19 02:41,9.4 secs,Planet Monthly Mosaics,,POINT(36.763771172373225 13.717990756822337),89,Non-crop,Non-crop
90,90,39.78847992114134,13.829710357726936,cnakalem@umd.edu,false,2023-10-24 08:34,932.6 secs,Planet Monthly Mosaics,,POINT(39.78847992114134 13.829710357726936),90,Non-crop,Non-crop
91,91,37.231928178937146,14.020412255894426,cnakalem@umd.edu,false,2023-10-24 08:34,51.6 secs,Planet Monthly Mosaics,,POINT(37.231928178937146 14.020412255894426),91,Non-crop,Non-crop
92,92,39.35393717765451,12.967668883554108,cnakalem@umd.edu,false,2023-10-24 08:35,41.0 secs,Planet Monthly Mosaics,,POINT(39.35393717765451 12.967668883554108),92,Non-crop,Non-crop
93,93,39.27970766582727,14.157030292370878,cnakalem@umd.edu,false,2023-10-24 08:36,49.3 secs,Sentinel-2,,POINT(39.27970766582727 14.157030292370878),93,Crop,Crop
94,94,38.06924388861718,14.59866447410937,cnakalem@umd.edu,false,2023-10-24 08:37,85.5 secs,Planet Monthly Mosaics,,POINT(38.06924388861718 14.59866447410937),94,Non-crop,Non-crop
95,95,38.98444938108926,14.024474932360226,cnakalem@umd.edu,false,2023-10-24 08:38,35.8 secs,Planet Monthly Mosaics,,POINT(38.98444938108926 14.024474932360226),95,Non-crop,Non-crop
96,96,39.158078085801236,13.67605606024198,cnakalem@umd.edu,false,2023-10-24 08:40,155.2 secs,Sentinel-2,,POINT(39.158078085801236 13.67605606024198),96,Crop,Crop
97,97,37.12685421824911,14.313179268870995,cnakalem@umd.edu,false,2023-10-24 08:41,55.0 secs,Planet Monthly Mosaics,,POINT(37.12685421824911 14.313179268870995),97,Non-crop,Non-crop
98,98,38.775565915258994,13.828660087844636,cnakalem@umd.edu,false,2023-10-24 08:42,30.6 secs,Planet Monthly Mosaics,,POINT(38.775565915258994 13.828660087844636),98,Non-crop,Non-crop
99,99,36.57447763898356,13.632367812230132,cnakalem@umd.edu,false,2023-10-24 08:44,124.8 secs,Planet Monthly Mosaics,,POINT(36.57447763898356 13.632367812230132),99,Non-crop,Crop
100,100,37.47289270400857,14.366315773819618,cnakalem@umd.edu,false,2023-10-24 08:44,15.7 secs,Planet Monthly Mosaics,,POINT(37.47289270400857 14.366315773819618),100,Non-crop,Non-crop
101,101,39.594251875558875,13.381608229037647,cnakalem@umd.edu,false,2023-10-24 08:45,60.0 secs,Planet Monthly Mosaics,,POINT(39.594251875558875 13.381608229037647),101,Non-crop,Non-crop
102,102,39.61884259543298,13.722643503807259,cnakalem@umd.edu,false,2023-10-25 19:42,27.4 secs,Planet Monthly Mosaics,,POINT(39.61884259543298 13.722643503807259),102,Non-crop,Non-crop
103,103,38.29420309601208,14.16439464513106,cnakalem@umd.edu,false,2023-10-25 19:42,14.4 secs,Planet Monthly Mosaics,,POINT(38.29420309601208 14.16439464513106),103,Non-crop,Non-crop
104,104,39.19195548697246,13.43796376164347,cnakalem@umd.edu,false,2023-10-25 19:42,9.4 secs,Planet Monthly Mosaics,,POINT(39.19195548697246 13.43796376164347),104,Non-crop,Crop
105,105,38.29571417041394,13.937517506559669,cnakalem@umd.edu,false,2023-10-25 19:42,13.3 secs,Planet Monthly Mosaics,,POINT(38.29571417041394 13.937517506559669),105,Non-crop,Non-crop
106,106,36.82117492537945,13.93374810248593,cnakalem@umd.edu,false,2023-10-25 19:42,8.9 secs,Planet Monthly Mosaics,,POINT(36.82117492537945 13.93374810248593),106,Non-crop,Non-crop
107,107,38.96812316109448,13.293525280953729,cnakalem@umd.edu,false,2023-10-25 19:43,31.8 secs,Sentinel-2,,POINT(38.96812316109448 13.293525280953729),107,Crop,Crop
108,108,37.38622754843335,13.382294024877458,cnakalem@umd.edu,false,2023-10-25 19:43,22.7 secs,Planet Monthly Mosaics,,POINT(37.38622754843335 13.382294024877458),108,Non-crop,Non-crop
109,109,39.71001240533507,12.724356537470866,cnakalem@umd.edu,false,2023-10-25 19:43,4.6 secs,Sentinel-2,,POINT(39.71001240533507 12.724356537470866),109,Non-crop,Crop
110,110,36.728886205455225,14.30085518338812,cnakalem@umd.edu,false,2023-10-25 19:44,9.9 secs,Planet Monthly Mosaics,,POINT(36.728886205455225 14.30085518338812),110,Non-crop,Non-crop
111,111,37.3164660036632,14.007907413669205,cnakalem@umd.edu,false,2023-10-25 19:44,11.8 secs,Planet Monthly Mosaics,,POINT(37.3164660036632 14.007907413669205),111,Non-crop,Non-crop
112,112,39.174666516297506,13.808057173641393,cnakalem@umd.edu,false,2023-10-25 19:44,40.2 secs,Sentinel-2,,POINT(39.174666516297506 13.808057173641393),112,Crop,Crop
113,113,39.36015022815768,13.140612301095645,cnakalem@umd.edu,false,2023-10-24 12:49,11007.6 secs,Planet Monthly Mosaics,,POINT(39.36015022815768 13.140612301095645),113,Non-crop,Non-crop
114,114,37.903694636412176,14.395010292286162,cnakalem@umd.edu,false,2023-10-24 12:49,18.9 secs,Planet Monthly Mosaics,,POINT(37.903694636412176 14.395010292286162),114,Crop,Non-crop
115,115,39.43515987441199,14.493451003924696,cnakalem@umd.edu,false,2023-10-24 12:50,36.8 secs,Planet Monthly Mosaics,,POINT(39.43515987441199 14.493451003924696),115,Non-crop,Non-crop
116,116,38.49021437509665,14.129719662623524,cnakalem@umd.edu,false,2023-10-24 12:51,42.2 secs,Planet Monthly Mosaics,,POINT(38.49021437509665 14.129719662623524),116,Non-crop,Non-crop
117,117,39.21182633337823,14.19306955886493,cnakalem@umd.edu,false,2023-10-24 12:51,35.6 secs,Planet Monthly Mosaics,,POINT(39.21182633337823 14.19306955886493),117,Non-crop,Non-crop
118,118,39.76371272418216,13.990404160408351,cnakalem@umd.edu,false,2023-10-24 12:52,12.6 secs,Planet Monthly Mosaics,,POINT(39.76371272418216 13.990404160408351),118,Non-crop,Non-crop
119,119,37.91019891479211,13.712865041206248,cnakalem@umd.edu,false,2023-10-24 12:55,190.1 secs,Planet Monthly Mosaics,,POINT(37.91019891479211 13.712865041206248),119,Non-crop,Non-crop
120,120,38.65704103704734,13.595598902810966,cnakalem@umd.edu,false,2023-10-24 12:57,111.6 secs,Planet Monthly Mosaics,,POINT(38.65704103704734 13.595598902810966),120,Non-crop,Non-crop
121,121,38.45847005836206,14.117335863517788,cnakalem@umd.edu,false,2023-10-24 14:37,6003.2 secs,Sentinel-2,,POINT(38.45847005836206 14.117335863517788),121,Crop,Crop
122,122,39.11099553881388,13.747847020216925,cnakalem@umd.edu,false,2023-10-24 14:38,110.2 secs,Sentinel-2,,POINT(39.11099553881388 13.747847020216925),122,Crop,Non-crop
123,123,37.34260224848397,13.608390784574869,cnakalem@umd.edu,false,2023-10-24 14:40,83.1 secs,Planet Monthly Mosaics,,POINT(37.34260224848397 13.608390784574869),123,Non-crop,Non-crop
124,124,39.016224287170786,14.231790430796304,cnakalem@umd.edu,false,2023-10-24 15:07,1625.8 secs,Planet Monthly Mosaics,,POINT(39.016224287170786 14.231790430796304),124,Non-crop,Non-crop
125,125,39.679968748464525,13.485403695212778,cnakalem@umd.edu,false,2023-10-24 15:09,123.3 secs,Sentinel-2,,POINT(39.679968748464525 13.485403695212778),125,Crop,Crop
126,126,39.600733778531676,14.184170860718986,cnakalem@umd.edu,false,2023-10-24 15:17,516.7 secs,Sentinel-2,,POINT(39.600733778531676 14.184170860718986),126,Non-crop,Crop
127,127,36.66750205553922,13.468672573783266,cnakalem@umd.edu,false,2023-10-24 15:19,107.7 secs,Planet Monthly Mosaics,,POINT(36.66750205553922 13.468672573783266),127,Non-crop,Non-crop
128,128,39.594795071395595,12.778332872824006,cnakalem@umd.edu,false,2023-10-24 15:19,16.3 secs,Planet Monthly Mosaics,,POINT(39.594795071395595 12.778332872824006),128,Non-crop,Non-crop
129,129,37.83414675412642,14.522406701473498,cnakalem@umd.edu,false,2023-10-24 15:22,156.6 secs,Planet Monthly Mosaics,,POINT(37.83414675412642 14.522406701473498),129,Non-crop,Non-crop
130,130,38.57481912351751,14.180914278901541,cnakalem@umd.edu,false,2023-10-25 19:21,100733.8 secs,Sentinel-2,,POINT(38.57481912351751 14.180914278901541),130,Crop,Crop
131,131,39.51871169447551,13.006022841672559,cnakalem@umd.edu,false,2023-10-25 19:22,38.6 secs,Google Satellite Layer,,POINT(39.51871169447551 13.006022841672559),131,Crop,Crop
132,132,37.3013746343355,13.612363968604088,cnakalem@umd.edu,false,2023-10-25 19:24,129.2 secs,Planet Monthly Mosaics,,POINT(37.3013746343355 13.612363968604088),132,Non-crop,Non-crop
133,133,39.28825101352259,12.400763438126933,cnakalem@umd.edu,false,2023-10-25 20:29,863.6 secs,Planet Monthly Mosaics,,POINT(39.28825101352259 12.400763438126933),133,Crop,Crop
134,134,39.250149406077526,13.341692080892825,cnakalem@umd.edu,false,2023-10-25 20:30,42.2 secs,Planet Monthly Mosaics,,POINT(39.250149406077526 13.341692080892825),134,Non-crop,Non-crop
135,135,39.38016324785012,14.069714984502033,cnakalem@umd.edu,false,2023-10-25 20:30,37.2 secs,Sentinel-2,,POINT(39.38016324785012 14.069714984502033),135,Crop,Crop
136,136,37.15667430419879,13.994081132224212,cnakalem@umd.edu,false,2023-10-25 20:30,15.4 secs,Planet Monthly Mosaics,,POINT(37.15667430419879 13.994081132224212),136,Non-crop,Non-crop
137,137,37.09622976144798,13.78887610544864,cnakalem@umd.edu,false,2023-10-25 20:31,10.0 secs,Planet Monthly Mosaics,,POINT(37.09622976144798 13.78887610544864),137,Non-crop,Non-crop
138,138,37.611669208772334,13.910397765242173,cnakalem@umd.edu,false,2023-10-25 20:31,54.3 secs,Planet Monthly Mosaics,,POINT(37.611669208772334 13.910397765242173),138,Non-crop,Non-crop
